City,colYear,colMonth,prom_arribades
Albany,1988,3,-6.0000
Albany,1992,12,-18.0000
Albany,1993,10,0.0000
Albany,1994,10,-11.0000
Albany,2003,3,-4.0000
Albany,2004,10,1.0000
Albany,2006,3,17.0000
Albany,2006,1,-8.0000
Albany,2007,6,5.0000
Albany,2008,12,15.0000
Albuquerque,1987,10,10.0000
Albuquerque,1989,1,7.0000
Albuquerque,1990,4,-3.0000
Albuquerque,1991,1,6.0000
Albuquerque,1993,11,3.0000
Albuquerque,1994,1,12.0000
Albuquerque,1995,9,-5.0000
Albuquerque,1995,1,-8.0000
Albuquerque,1995,8,7.0000
Albuquerque,1995,7,-1.0000
Albuquerque,1995,9,1.0000
Albuquerque,1996,7,0.0000
Albuquerque,1996,1,-1.0000
Albuquerque,1997,12,14.0000
Albuquerque,1997,10,12.0000
Albuquerque,1997,9,-8.0000
Albuquerque,1997,11,-11.0000
Albuquerque,1998,8,-2.0000
Albuquerque,1998,3,9.0000
Albuquerque,1998,1,-15.0000
Albuquerque,1998,1,5.0000
Albuquerque,1999,4,21.0000
Albuquerque,1999,4,-25.0000
Albuquerque,1999,10,3.0000
Albuquerque,2002,7,-12.0000
Albuquerque,2002,6,89.0000
Albuquerque,2002,8,35.0000
Albuquerque,2002,9,-6.0000
Albuquerque,2003,2,-27.0000
Albuquerque,2003,8,-1.0000
Albuquerque,2004,6,8.0000
Albuquerque,2004,9,-3.0000
Albuquerque,2005,7,9.0000
Albuquerque,2006,6,-17.0000
Albuquerque,2006,6,50.0000
Albuquerque,2006,7,-1.0000
Albuquerque,2006,1,0.0000
Albuquerque,2007,1,-10.0000
Allentown,1988,5,73.0000
Allentown,1988,11,26.0000
Allentown,1990,12,-5.0000
Allentown,1990,1,-4.0000
Allentown,1991,7,10.0000
Allentown,1992,6,-5.0000
Allentown,2005,1,-18.0000
Allentown,2006,1,60.0000
Amarillo,1987,11,-2.0000
Amarillo,1988,6,4.0000
Amarillo,1989,11,-2.0000
Amarillo,2000,3,5.0000
Anchorage,1988,10,-2.0000
Anchorage,1992,5,12.0000
Anchorage,1995,10,-8.0000
Anchorage,1996,11,10.0000
Anchorage,1999,10,-8.0000
Anchorage,1999,9,2.0000
Anchorage,2000,1,1.0000
Anchorage,2000,7,3.0000
Anchorage,2000,9,50.0000
Anchorage,2004,3,24.0000
Anchorage,2006,5,-2.0000
Anchorage,2007,7,-7.0000
Anchorage,2007,4,-21.0000
Anchorage,2008,8,-28.0000
Appleton,1988,2,2.0000
Appleton,2004,5,10.0000
Appleton,2008,5,-10.0000
Arlington,1987,10,19.0000
Arlington,1988,7,1.0000
Arlington,1988,3,17.0000
